date,fix_msg
2026-03-02,fix: update hardcoded paths for CodeContextBench → CodeScaleBench directory rename
2026-03-02,fix: remove tool call cap and shell allowlist from curator agent
2026-03-02,fix: coerce read_file start_line/end_line to int in tool dispatch
2026-03-02,fix: remove _install_sourcegraph_skill() — causes Daytona MCP timeouts
2026-03-02,"fix: promote post-fix security run, inject SG env vars for 13 bad-oracle tasks"
2026-03-02,fix: remove unnecessary Firefox mirror clone from SR-QA verifiers
2026-03-02,"fix: runtime fixes for ContextBench calibration (imports, auth, repo URL)"
2026-03-02,fix: composite score renormalization + CCB weighted sampling
2026-03-02,fix: improve _extract_files for SDLC ground truth formats
2026-03-02,fix: re-run security oracle with working SG search (F1 0.0 → 0.667)
2026-03-02,fix: add User-Agent header to SG API requests (Cloudflare 1010 block)
2026-03-01,"fix: clean selection file, fix Node.js Dockerfile conflict, run+promote DOE rebalance batch"
2026-03-01,fix: improve agent SG tool usage and validate token at startup
2026-03-01,fix: add SDLC/MCP-unique suite prefixes to promote_run.py
2026-03-01,fix: flink verifier path bug — flink-streaming-java → flink-runtime
2026-03-01,fix: re-score servo-scrollend runs from trajectory (cargo check gate removed)
2026-03-01,fix: guard stdev call for suites with <2 paired tasks in DOE analysis
2026-03-01,fix: security oracle — add repo prefix to bare-path oracle entries
2026-03-01,fix: curl-security-review-001 MCP verifier — wrong mirror URL in clone manifest
2026-03-01,"fix: oracle scoring — strip github.com/ prefix, match version-tag mirror suffixes"
2026-03-01,fix: correct stale metadata + complete SDLC variance coverage
2026-03-01,"fix: oracle format mismatch — convert string entries to dicts, auto-infer checks"
2026-03-01,fix: run_selected_tasks.sh Docker tag casing + Daytona env passthrough
2026-03-01,fix: promote_run.py handle Harbor Layout v3 (ccb_suite_task_config dirs)
2026-03-01,"fix: trace audit — fix 3 broken verifiers, MANIFEST model fallback, drop 2 TAC tasks"
2026-03-01,fix: add libudev-dev to servo Dockerfile + mark 92 DaytonaError runs invalid
2026-03-01,fix: vscode test.sh drop src/tsconfig OOM check + fix RELEVANT_COUNT bug
2026-03-01,fix: add workspace chown for Daytona remote builds in 81 Dockerfiles
2026-03-01,fix: add normalize_repo to 3 design F1 scorers + fix Daytona disk limit
2026-03-01,fix: repair verifier env for 2 ccb_feature tasks
2026-03-01,fix: replace all ccb-repo-* and upstream GitHub clones with sg-evals mirrors
2026-03-01,fix: use sg-evals mirrors in 34 baseline Dockerfiles for Daytona compat
2026-02-28,fix: infrastructure bugs in 5 feature task Dockerfiles and F1 scorers
2026-02-28,fix: correct flag to --override-storage-mb for Daytona storage cap
2026-02-28,fix: add DAYTONA_OVERRIDE_STORAGE passthrough to cap disk at 10GB for Daytona
2026-02-28,fix: ABC audit fixes for MCP-unique suites — test.sh and R.2 false positive
2026-02-28,fix: switch TAC-based sg_only Dockerfiles from ubuntu base to TAC base image
2026-02-28,fix: add /workspace symlink to sg_only Dockerfiles for all 9 prove tasks
2026-02-28,fix: recalibrate task difficulty ratings across 32 benchmark tasks
2026-02-28,fix: add missing clone manifest to bustub sg_only Dockerfile
2026-02-28,fix: strip ghcr.io/sourcegraph/ prefix from 108 baseline Dockerfiles
