component_key,component,build_stage,reuse_score,reuse_asset_hint
skills_qa_task_factory,"Skills, QA, Task Factory",Task Design,1.0,"Task templates, skill wrappers, task intake flow"
skills_qa_task_factory,"Skills, QA, Task Factory",Quality Gates,0.9,"Task templates, skill wrappers, task intake flow"
skills_qa_task_factory,"Skills, QA, Task Factory",Execution Harness,0.4,"Task templates, skill wrappers, task intake flow"
skills_qa_task_factory,"Skills, QA, Task Factory",Evaluation Analysis,0.2,"Task templates, skill wrappers, task intake flow"
skills_qa_task_factory,"Skills, QA, Task Factory",Operations,0.3,"Task templates, skill wrappers, task intake flow"
dashboard_audit,Dashboard + Audit Ops,Task Design,0.2,"Run state model (READY/BLOCKED/ERROR), promotion checks"
dashboard_audit,Dashboard + Audit Ops,Quality Gates,0.5,"Run state model (READY/BLOCKED/ERROR), promotion checks"
dashboard_audit,Dashboard + Audit Ops,Execution Harness,0.6,"Run state model (READY/BLOCKED/ERROR), promotion checks"
dashboard_audit,Dashboard + Audit Ops,Evaluation Analysis,0.5,"Run state model (READY/BLOCKED/ERROR), promotion checks"
dashboard_audit,Dashboard + Audit Ops,Operations,1.0,"Run state model (READY/BLOCKED/ERROR), promotion checks"
ir_eval_pipeline,IR Evaluation Pipeline,Task Design,0.3,Retrieval normalization + metric extraction pipeline
ir_eval_pipeline,IR Evaluation Pipeline,Quality Gates,0.7,Retrieval normalization + metric extraction pipeline
ir_eval_pipeline,IR Evaluation Pipeline,Execution Harness,0.2,Retrieval normalization + metric extraction pipeline
ir_eval_pipeline,IR Evaluation Pipeline,Evaluation Analysis,1.0,Retrieval normalization + metric extraction pipeline
ir_eval_pipeline,IR Evaluation Pipeline,Operations,0.4,Retrieval normalization + metric extraction pipeline
curator_contextbench,Curator + ContextBench,Task Design,0.6,Curator workflow with timeout/retry and coverage closure
curator_contextbench,Curator + ContextBench,Quality Gates,0.7,Curator workflow with timeout/retry and coverage closure
curator_contextbench,Curator + ContextBench,Execution Harness,0.4,Curator workflow with timeout/retry and coverage closure
curator_contextbench,Curator + ContextBench,Evaluation Analysis,0.8,Curator workflow with timeout/retry and coverage closure
curator_contextbench,Curator + ContextBench,Operations,0.3,Curator workflow with timeout/retry and coverage closure
llm_judge_trace,LLM Judge + Trace Analysis,Task Design,0.2,Judge+trace coupling for root-cause attribution
llm_judge_trace,LLM Judge + Trace Analysis,Quality Gates,0.8,Judge+trace coupling for root-cause attribution
llm_judge_trace,LLM Judge + Trace Analysis,Execution Harness,0.2,Judge+trace coupling for root-cause attribution
llm_judge_trace,LLM Judge + Trace Analysis,Evaluation Analysis,1.0,Judge+trace coupling for root-cause attribution
llm_judge_trace,LLM Judge + Trace Analysis,Operations,0.5,Judge+trace coupling for root-cause attribution
harness_infra,Harness + Infra,Task Design,0.1,Harbor/Docker/Daytona routing with shared artifact contract
harness_infra,Harness + Infra,Quality Gates,0.3,Harbor/Docker/Daytona routing with shared artifact contract
harness_infra,Harness + Infra,Execution Harness,1.0,Harbor/Docker/Daytona routing with shared artifact contract
harness_infra,Harness + Infra,Evaluation Analysis,0.4,Harbor/Docker/Daytona routing with shared artifact contract
harness_infra,Harness + Infra,Operations,0.9,Harbor/Docker/Daytona routing with shared artifact contract
